,year,total_ghg,sicaklik,Tarih
0,2022,452,15.880889223707428,2022-01-01
1,2023,461,15.93384669467531,2023-01-01
2,2024,470,15.986804165643193,2024-01-01
3,2025,480,16.041160335851416,2025-01-01
4,2026,489,16.094117806819284,2026-01-01
5,2027,498,16.147075277787167,2027-01-01
6,2028,507,16.20003274875505,2028-01-01
7,2029,516,16.252990219722946,2029-01-01
8,2030,526,16.307346389931183,2030-01-01
9,2031,535,16.36030386089905,2031-01-01
10,2032,544,16.41326133186695,2032-01-01
11,2033,553,16.46621880283483,2033-01-01
12,2034,563,16.520574973043054,2034-01-01
13,2035,572,16.573532444010922,2035-01-01
14,2036,581,16.62648991497879,2036-01-01
15,2037,590,16.679447385946688,2037-01-01
16,2038,599,16.73240485691457,2038-01-01
17,2039,609,16.78676102712282,2039-01-01
18,2040,618,16.83971849809069,2040-01-01
19,2041,627,16.89267596905856,2041-01-01
20,2042,636,16.945633440026455,2042-01-01
21,2043,645,16.998590910994338,2043-01-01
22,2044,655,17.05294708120256,2044-01-01
23,2045,664,17.105904552170458,2045-01-01
24,2046,673,17.15886202313831,2046-01-01
25,2047,682,17.21181949410621,2047-01-01
26,2048,692,17.26617566431443,2048-01-01
27,2049,701,17.31913313528233,2049-01-01
28,2050,710,17.37209060625021,2050-01-01
